transfers_out,﻿yellow_cards,﻿code,﻿goals_conceded,﻿photo,﻿saves,﻿influence,﻿ep_this,﻿squad_number,﻿news_added,﻿goals_scored,﻿loans_in,﻿web_name,﻿value_season,﻿in_dreamteam,﻿team_code,﻿id,﻿special,﻿first_name,﻿transfers_out_event,﻿chance_of_playing_next_round,﻿cost_change_start,﻿cost_change_event_fall,﻿creativity,﻿cost_change_start_fall,﻿bonus,﻿ict_index,﻿total_points,﻿penalties_missed,﻿transfers_in,﻿status,﻿form,﻿own_goals,﻿loaned_in,﻿now_cost,﻿points_per_game,﻿clean_sheets,﻿assists,﻿selected_by_percent,﻿value_form,﻿loans_out,﻿news,﻿ea_index,﻿penalties_saved,﻿dreamteam_count,﻿event_points,﻿red_cards,﻿loaned_out,﻿transfers_in_event,﻿bps,﻿element_type,﻿ep_next,﻿threat,﻿team,﻿chance_of_playing_this_round,﻿minutes,﻿second_name,﻿cost_change_event
7951,0,48844,0,﻿48844.jpg,0,﻿0.0,﻿0.0,13,﻿2017-11-18T12:31:16Z,0,0,﻿Ospina,﻿0.0,False,3,1,False,﻿David,122,100,-2,0,﻿0.0,2,0,﻿0.0,0,0,1519,﻿a,﻿0.0,0,0,48,﻿0.0,0,0,﻿0.2,﻿0.0,0,﻿,0,0,0,0,0,0,38,0,1,﻿1.0,﻿0.0,1,100,0,﻿Ospina,0
202395,1,11334,28,﻿11334.jpg,50,﻿412.2,﻿3.2,33,,0,0,﻿Cech,﻿15.2,False,3,2,False,﻿Petr,6165,,-1,0,﻿0.0,1,4,﻿41.0,82,0,111910,﻿a,﻿3.2,0,0,54,﻿3.7,9,0,﻿4.9,﻿0.6,0,﻿,0,0,0,2,0,0,4996,406,1,﻿4.2,﻿0.0,1,,1980,﻿Cech,0
26143,0,98980,0,﻿98980.jpg,0,﻿0.0,﻿0.0,26,﻿2017-08-03T08:35:02Z,0,0,﻿Martinez,﻿0.0,False,3,3,False,﻿Damian Emiliano,487,0,0,0,﻿0.0,0,0,﻿0.0,0,0,1249,﻿u,﻿0.0,0,0,40,﻿0.0,0,0,﻿0.6,﻿0.0,0,﻿Season-long loan to Getafe,0,0,0,0,0,0,44,0,1,﻿0.0,﻿0.0,1,0,0,﻿Martinez,0
109286,3,51507,20,﻿51507.jpg,0,﻿469.0,﻿4.7,6,﻿2018-01-02T09:01:17Z,0,0,﻿Koscielny,﻿12.7,False,3,4,False,﻿Laurent,27987,25,0,0,﻿113.8,0,14,﻿62.5,76,0,143907,﻿d,﻿4.7,0,0,60,﻿4.2,9,0,﻿1.9,﻿0.8,0,﻿Achilles injury - 25% chance of playing,0,0,2,0,0,0,3127,421,2,﻿1.4,﻿41.0,1,100,1595,﻿Koscielny,0
41111,0,17127,7,﻿17127.jpg,0,﻿115.4,﻿0.2,4,﻿2017-11-18T12:31:16Z,1,0,﻿Mertesacker,﻿3.1,False,3,5,False,﻿Per,735,100,-2,0,﻿3.0,2,2,﻿15.7,15,0,28257,﻿a,﻿0.2,0,0,48,﻿3.0,0,0,﻿0.5,﻿0.0,0,﻿,0,0,1,0,0,0,661,77,2,﻿1.2,﻿38.0,1,100,351,﻿Mertesacker,0
2126,0,158074,0,﻿158074.jpg,0,﻿0.0,﻿0.0,5,﻿2017-07-12T10:31:11Z,0,0,﻿Gabriel,﻿0.0,False,3,6,False,﻿Gabriel Armando,46,0,0,0,﻿0.0,0,0,﻿0.0,0,0,335,﻿u,﻿0.0,0,0,50,﻿0.0,0,0,﻿0.0,﻿0.0,0,﻿Joined Valencia on 18/8,0,0,0,0,0,0,8,0,2,﻿0.0,﻿0.0,1,0,0,﻿de Abreu,0
581848,3,98745,28,﻿98745.jpg,0,﻿315.6,﻿4.7,24,,1,0,﻿Bellerín,﻿14.2,False,3,7,False,﻿Héctor,21389,,0,0,﻿373.4,0,6,﻿108.2,85,0,478427,﻿a,﻿4.7,0,0,60,﻿3.9,9,2,﻿11.9,﻿0.8,0,﻿,0,0,1,8,0,0,75511,417,2,﻿5.7,﻿392.0,1,,1980,﻿Bellerín,0
29049,1,42427,25,﻿42427.jpg,0,﻿302.2,﻿3.5,3,﻿2018-01-06T17:31:17Z,0,0,﻿Gibbs,﻿10.2,False,35,8,False,﻿Kieran,2644,75,0,0,﻿230.5,0,1,﻿64.6,51,0,40121,﻿d,﻿3.5,0,0,50,﻿2.7,4,2,﻿0.5,﻿0.7,0,﻿Knock - 75% chance of playing,0,0,0,1,0,0,2192,285,2,﻿2.6,﻿113.0,19,100,1626,﻿Gibbs,0
13157,0,80254,0,﻿80254.jpg,0,﻿0.0,﻿0.0,25,﻿2017-08-22T14:57:50Z,0,0,﻿Jenkinson,﻿0.0,False,3,9,False,﻿Carl,100,0,0,0,﻿0.0,0,0,﻿0.0,0,0,723,﻿u,﻿0.0,0,0,45,﻿0.0,0,0,﻿0.1,﻿0.0,0,﻿Season-long loan to Birmingham,0,0,0,0,0,0,3,0,2,﻿0.0,﻿0.0,1,0,0,﻿Jenkinson,0
971257,3,38411,21,﻿38411.jpg,0,﻿465.4,﻿0.0,18,﻿2017-12-22T22:31:16Z,2,0,﻿Monreal,﻿15.2,False,3,10,False,﻿Nacho,54182,0,1,1,﻿143.2,-1,10,﻿73.4,85,0,944115,﻿i,﻿2.3,0,0,56,﻿4.5,9,0,﻿5.5,﻿0.4,0,﻿Ankle injury - Expected back 14 Jan,0,0,1,0,0,0,1624,449,2,﻿0.0,﻿124.0,1,0,1665,﻿Monreal,-1
